Empresa,sector,ventas_anuales,empleados,adopcion_tecnologica,tecnologias_utilizadas,proposito_hoy,proposito_18_anos,_latency_s
Ecopetrol,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,"Ecopetrol busca liderar la transición energética en Colombia y Latinoamérica, promoviendo la sostenibilidad y la eficiencia en la producción de hidrocarburos.","En 18 años, Ecopetrol será una empresa líder en la región, reconocida por su compromiso con la sostenibilidad, la innovación y la excelencia en la producción de energía.",0.9227
Organización Terpel,Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ser líderes en la distribución de combustibles y servicios relacionados en Colombia y otros países de Latinoamérica.,"Consolidarnos como una de las empresas más importantes en el sector energético a nivel global, expandiendo nuestra oferta de servicios y productos sostenibles.",0.5792
Refinería de Cartagena (Reficar),Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ser líder en la refinación de petróleo en Colombia, ofreciendo productos de alta calidad y contribuyendo al desarrollo sostenible del país.","Consolidarnos como una de las refinerías más eficientes y sostenibles de América Latina, expandiendo nuestra capacidad de producción y diversificando nuestros productos.",0.5574
Claro Colombia,Tecnología,Grande — > $50.000 M,>500,"Avanzado - Uso intensivo de tecnologías emergentes, IA, IoT, etc.",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,Ofrecer servicios de comunicación y tecnología de alta calidad a nuestros clientes en Colombia.,Ser líderes en la industria de la tecnología y la comunicación en Colombia y Latinoamérica.,0.5353
Almacenes Éxito,Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líderes en el sector comercial en Colombia, ofreciendo una experiencia de compra innovadora y personalizada a nuestros clientes.","Consolidarnos como una de las empresas de comercio más importantes en Latinoamérica, expandiendo nuestra presencia en la región y continuando con nuestra estrategia de innovación y sostenibilidad.",0.5669
Empresas Públicas de Medellín (EPM),Energía y Minería,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,"EPM busca ser líder en la prestación de servicios públicos de calidad, contribuyendo al desarrollo sostenible de la región.","En 18 años, EPM aspira a ser un referente global en la gestión eficiente y sostenible de servicios públicos, con un impacto positivo en la calidad de vida de millones de personas.",0.6333
Nueva EPS,Salud,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Brindar servicios de salud de alta calidad a nuestros afiliados,Ser líderes en la prestación de servicios de salud en Colombia y Latinoamérica,0.4883
Tiendas D1 (Koba Colombia),Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ser líderes en el sector de tiendas de conveniencia en Colombia, ofreciendo productos y servicios de calidad a nuestros clientes.","Consolidarnos como una de las cadenas de tiendas de conveniencia más importantes de Latinoamérica, expandiendo nuestra presencia en la región.",0.5306
Colombiana de Comercio (Alkosto / Ktronix),Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ofrecer soluciones tecnológicas y productos de calidad a nuestros clientes, mejorando su experiencia de compra.","Ser líderes en el sector de la tecnología y el comercio en Colombia, expandiendo nuestra presencia en la región.",0.5349
Drummond Ltd.,Energía y Minería,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Ser líder en la producción de carbón y energía en Colombia y el mundo.,Consolidarnos como una de las empresas más sostenibles y respetuosas con el medio ambiente en el sector energético global.,0.5015
